owner_id,owner,round,slot,team,position
1,Will,1,1,BUF,QB
2,Duncan,1,2,BAL,QB
3,Brianna,1,3,BUF,RB
4,Kyle,1,4,DET,RB
5,Josh L,1,5,PHI,QB
6,Chris,1,6,BAL,RB
7,Ross,1,7,DET,WR
8,Josh G,1,8,DET,K
9,Shamus,1,9,BAL,TE
10,Burger,1,10,PHI,RB
11,Adam,1,11,TB,WR
12,Mason,1,12,MIN,WR
13,Josele,1,13,BUF,WR
14,Carlos,1,14,TB,QB
1,Will,2,24,KC,WR
2,Duncan,2,23,BAL,K
3,Brianna,2,22,KC,QB
4,Kyle,2,28,DET,TE
5,Josh L,2,27,KC,TE
6,Chris,2,26,WAS,QB
7,Ross,2,25,KC,K
8,Josh G,2,18,PHI,WR
9,Shamus,2,17,BAL,WR
10,Burger,2,16,PHI,K
11,Adam,2,15,DET,QB
12,Mason,2,21,MIN,K
13,Josele,2,20,BUF,OTH
14,Carlos,2,19,BUF,K
1,Will,3,37,TB,RB
2,Duncan,3,36,LAC,WR
3,Brianna,3,38,PIT,WR
4,Kyle,3,35,DET,OTH
5,Josh L,3,33,LAR,WR
6,Chris,3,32,BUF,TE
7,Ross,3,34,KC,RB
8,Josh G,3,41,LAC,RB
9,Shamus,3,39,LAR,RB
10,Burger,3,40,WAS,TE
11,Adam,3,42,TB,K
12,Mason,3,31,MIN,QB
13,Josele,3,29,LAC,QB
14,Carlos,3,30,GB,RB
1,Will,4,48,LAC,K
2,Duncan,4,49,MIN,RB
3,Brianna,4,47,GB,K
4,Kyle,4,50,HOU,WR
5,Josh L,4,52,LAR,K
6,Chris,4,53,WAS,WR
7,Ross,4,51,HOU,QB
8,Josh G,4,44,MIN,TE
9,Shamus,4,46,LAR,QB
10,Burger,4,45,GB,WR
11,Adam,4,43,TB,TE
12,Mason,4,54,WAS,RB
13,Josele,4,56,GB,TE
14,Carlos,4,55,PHI,TE
1,Will,5,70,LAC,TE
2,Duncan,5,69,LAC,OTH
3,Brianna,5,68,KC,OTH
4,Kyle,5,63,HOU,K
5,Josh L,5,61,DEN,OTH
6,Chris,5,60,WAS,K
7,Ross,5,62,HOU,TE
8,Josh G,5,67,DEN,QB
9,Shamus,5,66,BAL,OTH
10,Burger,5,65,GB,QB
11,Adam,5,64,MIN,OTH
12,Mason,5,59,WAS,OTH
13,Josele,5,58,HOU,RB
14,Carlos,5,57,LAR,OTH
1,Will,6,84,GB,OTH
2,Duncan,6,83,DEN,TE
3,Brianna,6,82,LAR,TE
4,Kyle,6,81,PIT,QB
5,Josh L,6,80,PIT,RB
6,Chris,6,79,HOU,OTH
7,Ross,6,78,TB,OTH
8,Josh G,6,77,PIT,OTH
9,Shamus,6,76,DEN,K
10,Burger,6,75,PHI,OTH
11,Adam,6,74,DEN,RB
12,Mason,6,73,PIT,TE
13,Josele,6,72,PIT,K
14,Carlos,6,71,DEN,WR
